ticker,date,open,high,low,close
BTC,7/17/2010,0.04951,0.04951,0.04951,0.04951
BTC,7/18/2010,0.04951,0.08585,0.04951,0.08584
BTC,7/19/2010,0.08584,0.09307,0.07723,0.0808
BTC,7/20/2010,0.0808,0.08181,0.07426,0.07474
BTC,7/21/2010,0.07474,0.07921,0.06634,0.07921
BTC,7/22/2010,0.07921,0.08181,0.0505,0.0505
BTC,7/23/2010,0.0505,0.06767,0.0505,0.06262
BTC,7/24/2010,0.06262,0.06262,0.05049,0.05454
BTC,7/25/2010,0.05454,0.05941,0.0505,0.0505
BTC,7/26/2010,0.0505,0.056,0.05,0.056
BTC,7/27/2010,0.056,0.0605,0.053,0.06
BTC,7/28/2010,0.06,0.062,0.054,0.0589
BTC,7/29/2010,0.0589,0.0699,0.0571,0.0699
BTC,7/30/2010,0.0699,0.0699,0.0582,0.0627
BTC,7/31/2010,0.0627,0.06889,0.056,0.06785
BTC,8/1/2010,0.06785,0.06785,0.06,0.0611
BTC,8/2/2010,0.0611,0.0633,0.06,0.06
BTC,8/3/2010,0.06,0.065,0.059,0.06
BTC,8/4/2010,0.06,0.06231,0.057,0.057
BTC,8/5/2010,0.057,0.061,0.057,0.061
BTC,8/6/2010,0.061,0.0624,0.0607,0.0623
BTC,8/7/2010,0.0623,0.0623,0.059,0.059
BTC,8/8/2010,0.059,0.061,0.059,0.0609
BTC,8/9/2010,0.0609,0.0735,0.0593,0.071
BTC,8/10/2010,0.071,0.071,0.06651,0.07
BTC,8/11/2010,0.07,0.07541,0.06,0.067
BTC,8/12/2010,0.067,0.07,0.06141,0.07
BTC,8/13/2010,0.07,0.07,0.0645,0.0645
BTC,8/14/2010,0.0645,0.0695,0.0645,0.067
BTC,8/15/2010,0.067,0.067,0.065,0.06529
BTC,8/16/2010,0.06529,0.0679,0.062,0.0655
BTC,8/17/2010,0.0655,0.0769,0.06243,0.07
BTC,8/18/2010,0.07,0.0733,0.067,0.068
BTC,8/19/2010,0.068,0.068,0.0667,0.0667
BTC,8/20/2010,0.0667,0.0667,0.065,0.0655
BTC,8/21/2010,0.0655,0.0669,0.0644,0.0664
BTC,8/22/2010,0.0664,0.0664,0.0612,0.066
BTC,8/23/2010,0.066,0.06689,0.063,0.06491
BTC,8/24/2010,0.06491,0.0665,0.06491,0.065
BTC,8/25/2010,0.065,0.0665,0.0641,0.0648
BTC,8/26/2010,0.0648,0.0658,0.064,0.064
